# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_408666	Japan/TY-WK-501/2020	Asia / Japan / Tokyo / Tokyo	2020-01-31	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_421250	Shangrao/JX1177/2020	Asia / China / Jiangxi / Shangrao	2020-02-03	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
EPI_ISL_403936	Guangdong/20SF028/2020	Asia / China / Guangdong / Zhuhai	2020-01-17	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
EPI_ISL_417280	England/20109054806/2020	Europe / United Kingdom / England / 	2020-03-07	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_435615	USA/CA-SCCPHD-UC136/2020	North America / USA / California / Santa Clara County	2020-03-07	Santa Clara County Public Health Department	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
EPI_ISL_414646	Finland/FIN-266/2020	Europe / Finland / Finland / 	2020-03-04	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
EPI_ISL_425178	Spain/VC-FISABIO-54/2020	Europe / Spain / Comunitat Valenciana / Valencia	2020-02-28	Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	David Navarro et al
EPI_ISL_460250	USA/MA-MGH-00438/2020	North America / USA / Massachusetts / 	2020-03-04	Massachusetts General Hospital	Infectious Disease Program, Broad Institute of Harvard and MIT	Lemieux et al
EPI_ISL_460321	USA/MA-MGH-00443/2020	North America / USA / Massachusetts / 	2020-03-07	Massachusetts General Hospital	Infectious Disease Program, Broad Institute of Harvard and MIT	Lemieux et al
EPI_ISL_417246	England/20106145903/2020	Europe / United Kingdom / England / 	2020-03-03	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
EPI_ISL_414686	Guangzhou/GZMU0030/2020	Asia / China / Guangdong / Guangzhou	2020-02-27	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	Zhao et al et al
EPI_ISL_424904	USA/SC_3571/2020	North America / USA / South Carolina / 	2020-03-07	SC Dept of Health and Env. Control-Bureau of Laboratories	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
EPI_ISL_427643	Australia/NSW219/2020	Oceania / Australia / New South Wales / Sydney	2020-02-28	Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Timms V et al
EPI_ISL_430276	USA/WA-S238/2020	North America / USA / Washington / King County	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu et al et al
EPI_ISL_497963	SouthKorea/KCDC2062/2020	Asia / South Korea / South Korea / 	2020-01-31	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
EPI_ISL_414017	Brazil/SP-04/2020	South America / Brazil / São Paulo / 	2020-03-04	Hospital São Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
EPI_ISL_416326	Shanghai/SH0013/2020	Asia / China / Shanghai / 	2020-01-30	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_416633	Japan/DP0880/2020	Asia / Japan / Japan / 	2020-02-17	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_464397	England/201060144/2020	Europe / United Kingdom / England / 	2020-03-04	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
EPI_ISL_417134	USA/WA-S81/2020	North America / USA / Washington / King County	2020-02-26	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_410717	Australia/QLD03/2020	Oceania / Australia / Queensland / Gold Coast	2020-02-05	Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
EPI_ISL_475546	Sweden/20-04851/2020	Europe / Sweden / Stockholm / 	2020-02-28	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
EPI_ISL_451393	Sichuan/SC-WCH4-291/2020	Asia / China / Sichuan / 	2020-02-15	West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_482468	Peru/LIM-01-2/2020	South America / Peru / Lima / 	2020-03-05	Laboratorio de Referencia Nacional de Virus Respiratorios. Instituto Nacional de Salud Peru	Laboratorio de Referencia Nacional de Biotecnologia y Biologia Molecular. Instituto Nacional de Salud Peru	Carlos Padilla Rojas et al
EPI_ISL_417079	USA/WA-S26/2020	North America / USA / Washington / Snohomish County	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_516642	Germany/BE-ChVir-D679-14/2020	Europe / Germany / Berlin / 	2020-03-04	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	Victor M Corman et al
EPI_ISL_445245	Chile/Santiago_3/2020	South America / Chile / Santiago / 	2020-03-06	CLINICA ALEMANA DE SANTIAGO S.A.	Instituto de Salud Publica de Chile	Andrés E Castillo et al
EPI_ISL_406031	Taiwan/2/2020	Asia / Taiwan / Taiwan / Kaohsiung	2020-01-23	Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al
EPI_ISL_420793	USA/NY_2929/2020	North America / USA / New York / 	2020-03-02	NYC Department of Health and Mental Hygiene	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
EPI_ISL_417980	Spain/MD-HLP-R5-8/2020	Europe / Spain / Madrid / 	2020-03-03	Hospital Universitario Ramón y Cajal	Hospital Universitario La Paz	Elias Dahdouh et al
EPI_ISL_493414	Singapore/654/2020	Asia / Singapore / Singapore / 	2020-02-18	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
EPI_ISL_414586	Ireland/LK-NVRL-19934/2020	Europe / Ireland / Limerick / 	2020-03-03	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	Michael Carr et al
EPI_ISL_455377	Wuhan/HB-WH3-177/2020	Asia / China / Hubei / Wuhan	2020-03-03	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_454880	Sweden/20-50104/2020	Europe / Sweden / Stockholm / 	2020-03-03	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_429350	Denmark/ALAB-SSI121/2020	Europe / Denmark / Denmark / 	2020-03-08	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
EPI_ISL_539335	Hunan/HN-CIDC-P6/2020	Asia / China / Hunan / Huaihua	2020-01-28	Institute of Disease Control and Prevention, People's Liberation Army	Institute of Disease Control and Prevention, People's Liberation Army	Qiu et al
EPI_ISL_461114	Netherlands/NA_679/2020	Europe / Netherlands / Netherlands / 	2020-03-03	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
EPI_ISL_411956	USA/TX1/2020	North America / USA / Texas / 	2020-02-11	Texas Department of State Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
EPI_ISL_493137	Thailand/MUMT-3/2020	Asia / Thailand / Bangkok / 	2020-02-25	Center for Research and Innovation, Faculty of Medical Technology, Mahidol University	Center for Research and Innovation, Faculty of Medical Technology, Mahidol University	Kantima Sangsiriwut et al
EPI_ISL_426426	USA/MN_0100/2020	North America / USA / Minnesota / 	2020-03-05	MN PHL Division, Minnesota Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
EPI_ISL_420104	Singapore/27/2020	Asia / Singapore / Singapore / Singapore	2020-03-05	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
EPI_ISL_450512	Lebanon/S5_762/2020	Asia / Lebanon / Beirut / 	2020-02-27	Rafik Hariri University Hospital	Rafik Hariri University Hospital	Rita Feghali et al
EPI_ISL_479822	Japan/PG-0060/2020	Asia / Japan / Kansai / 	2020-03-08	Department of Infectious Diseases, Kobe Institute of Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_410486	France/RA739/2020	Europe / France / Auvergne-Rhône-Alpes / Contamines	2020-02-08	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Bal et al
EPI_ISL_418510	Hangzhou/HZ185/2020	Asia / China / Zhejiang / Hangzhou	2020-01-23	Hangzhou Center for Disease Control and Prevention	Insepction Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al
EPI_ISL_451324	Sichuan/SC-MY-058/2020	Asia / China / Sichuan / 	2020-02-02	West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_460090	Italy/LOM-INMI-11550/2020	Europe / Italy / Lombardy / 	2020-02-28	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Antonio Piralla et al
EPI_ISL_416593	Japan/DP0311/2020	Asia / Japan / Japan / 	2020-02-16	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_451306	Italy/LOM-INMI-5314-B/2020	Europe / Italy / Lombardy / 	2020-02-21	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Antonio Piralla et al
EPI_ISL_525584	USA/NY-Wadsworth-11538-01/2020	North America / USA / New York / 	2020-03-07	Wadsworth Center, New York State Department of Health	Wadsworth Center, New York State Department of Health	Kirsten St. George et al
EPI_ISL_430294	USA/WA-S256/2020	North America / USA / Washington / King County	2020-03-02	Washington State Department of Health	Seattle Flu Study	Chu et al et al
EPI_ISL_415157	Belgium/BC-03016/2020	Europe / Belgium / Sint-Niklaas / 	2020-03-01	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al
EPI_ISL_429142	Sweden/20-50131/2020	Europe / Sweden / Varmland / 	2020-03-06	Klinisk mikrobiologi Orebro	The Public Health Agency of Sweden	Martin Sundqvist et al
EPI_ISL_411060	Fujian/8/2020	Asia / China / Fujian / 	2020-01-21	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Chen Wei et al
EPI_ISL_455383	Wuhan/HB-WH3-188/2020	Asia / China / Hubei / Wuhan	2020-03-03	Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_454876	Sweden/20-50096/2020	Europe / Sweden / Stockholm / 	2020-03-04	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_529033	USA/NY-Wadsworth-11460-01/2020	North America / USA / New York / 	2020-03-07	Wadsworth Center, New York State Department of Health	Wadsworth Center, New York State Department of Health	Kirsten St. George et al
EPI_ISL_488371	England/BRIS-12F583/2020	Europe / United Kingdom / England / 	2020-03-02	PHE South West Regional Laboratory, National Infection Service	Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium	Stephanie Hutchings et al
EPI_ISL_416493	France/HF2196/2020	Europe / France / Hauts de France / Chateau-Thierry	2020-03-08	CH Jean de Navarre Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
EPI_ISL_416363	Shanghai/SH0055/2020	Asia / China / Shanghai / 	2020-02-08	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
EPI_ISL_438010	Austria/CeMM0165/2020	Europe / Austria / Vienna / 	2020-03-06	Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
EPI_ISL_414368	USA/WA-UW20/2020	North America / USA / Washington / 	2020-03-05	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
EPI_ISL_524474	Switzerland/AG-UZH-1000477914/2020	Europe / Switzerland / Aargau / 	2020-03-01	Department of Infectious Diseases, Cantonal Hospital Baden	Institute of Medical Virology, University of Zurich	Stefan Schmutz et al
EPI_ISL_451334	Sichuan/SC-NC-075/2020	Asia / China / Sichuan / 	2020-01-30	West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
EPI_ISL_539512	Spain/AR-ISCIII-201693/2020	Europe / Spain / Aragon / 	2020-03-07	Hospital Clínico Universitario Lozano Blesa	Instituto de Salud Carlos III	Iglesias-Caballero et al
EPI_ISL_416487	Spain/VC-FISABIO-8/2020	Europe / Spain / Comunitat Valenciana / Valencia	2020-03-04	Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Giuseppe D'Auria et al
EPI_ISL_529213	Wuhan/IME-WH01/2020	Asia / China / Hubei / Wuhan	2019-12-30	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
EPI_ISL_452100	Denmark/ALAB-HH-99/2020	Europe / Denmark / Denmark / 	2020-03-07	Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
EPI_ISL_416585	Japan/DP0236/2020	Asia / Japan / Japan / 	2020-02-16	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_464318	England/201040073/2020	Europe / United Kingdom / England / 	2020-03-03	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
EPI_ISL_416570	Japan/DP0065/2020	Asia / Japan / Japan / 	2020-02-15	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_452351	Beijing/DT-travelIT04/2020	Asia / China / Beijing / 	2020-03-04	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
EPI_ISL_437642	Denmark/ALAB-SSI-133/2020	Europe / Denmark / Denmark / 	2020-03-08	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
EPI_ISL_413610	USA/CruiseA-5/2020	North America / USA / Diamond Princess / 	2020-02-21	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
EPI_ISL_417684	Iceland/54/2020	Europe / Iceland / Reykjavik / 	2020-03-06	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al
EPI_ISL_427651	Australia/NSW29/2020	Oceania / Australia / New South Wales / Sydney	2020-03-08	Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A et al
EPI_ISL_418809	Japan/UT-NCGM02/2020	Asia / Japan / Tokyo / 	2020-02-01	University of Wisconsin - Madison: Influenza Research Institute	University of Wisconsin Madison, AIDS Vaccine Research Laboratories	Katarina Braun et al
EPI_ISL_488800	England/NORT-281041/2020	Europe / United Kingdom / England / 	2020-03-02	NU-OMICS DNA Sequencing research facility, Northumbria University	Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium	Chris Duncan et al
EPI_ISL_424852	USA/DC_0004/2020	North America / USA / Washington DC / 	2020-03-06	DC Public Health Lab/ Dept. of Forensic Sciences	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
EPI_ISL_479830	Japan/PG-0077/2020	Asia / Japan / Hokkaido / 	2020-02-28	Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_455895	Sweden/20-50257/2020	Europe / Sweden / Stockholm / 	2020-03-08	Karolinska Universitetslaboratoriet	The Public Health Agency of Sweden	Anna-Malin Linde et al
EPI_ISL_417116	USA/WA-S63/2020	North America / USA / Washington / King County	2020-03-04	Washington State Department of Health	Seattle Flu Study	Chu etl al et al
EPI_ISL_464438	England/201080039/2020	Europe / United Kingdom / England / 	2020-03-06	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
EPI_ISL_414938	Shandong/LY005-2/2020	Asia / China / Shandong / 	2020-01-24	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang et al
EPI_ISL_416578	Japan/DP0152/2020	Asia / Japan / Japan / 	2020-02-15	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
EPI_ISL_413996	Switzerland/TI-SNRCI-29919486/2020	Europe / Switzerland / Ticino / 	2020-02-24	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	LAUBSCHER Florian et al. et al
EPI_ISL_417444	Pakistan/Gilgit1/2020	Asia / Pakistan / Gilgit Baltistan / Gilgit	2020-03-04	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Department of Healthcare Biotechnology, National University of Sciences and Technology (NUST)	Javed et al
EPI_ISL_420801	SouthKorea/BA-ACH_2719/2020	Asia / South Korea / South Korea / 	2020-02-29	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
EPI_ISL_460080	Italy/LOM-INMI-BG-11639/2020	Europe / Italy / Lombardy / 	2020-02-28	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Antonio Piralla et al
